1;01.01;6 - 12
2;01.01;< 6
3;01.01;>=12 (NORMAL)
4;01.02;4000 - 7000 (NORMAL)
5;01.02;> 7000 (HIGH)
6;01.02;< 4000 (LOW)
7;01.05;HIGH
8;01.05;NORMAL
9;01.05;LOW
10;01.06;POSITIVE
11;01.06;NEGATIVE
12;02.01;A RH+
13;02.01;A RH-
14;02.01;B RH+
15;02.01;B RH-
16;02.01;AB RH+
17;02.01;AB RH-
18;02.01;O RH+
19;02.01;O RH-
20;02.02;NEGATIVE
21;02.02;POSITIVE
22;03.01;NEGATIVE
23;03.01;FEW
24;03.01;+
25;03.01;++
26;03.01;+++
27;03.01;++++
28;03.02;POSITIVE
29;03.02;NEGATIVE
30;03.02.1;NEGATIVE
31;03.02.1;POSITIVE
32;03.02.2;POSITIVE
33;03.02.2;NEGATIVE
34;03.02.3;NEGATIVE
35;03.02.3;POSITIVE
36;03.02.4;NEGATIVE
37;03.02.4;POSITIVE
38;03.03;A..LUMBRICOIDES
39;03.03;E.COLI CYSTS
40;03.03;E.HISTOLYTICA
41;03.03;E.VERMICULARIS
42;03.03;G.LAMBLIA
43;03.03;T.HOMINIS
44;03.03;HOOK WORM
45;03.03;S.MANSONI
46;03.03;S.STERCORALIS
47;03.03;TAENIA SAGINATA
48;03.03;TAENIA SOLIUM
49;03.03;TRICHURISI TRICHURA
50;03.03;HYMENOLEPIS NANA
51;03.04;POSITIVE
52;03.04;NEGATIVE
53;03.05;POSITIVE
54;03.05;NEGATIVE
55;03.06;POSITIVE
56;03.06;NEGATIVE
57;04.01;POSITIVE
58;04.01;NEGATIVE
59;04.02;POSITIVE
60;04.02;NEGATIVE
61;04.03;POSITIVE
62;04.03;NEGATIVE
63;04.04;POSITIVE
64;04.04;NEGATIVE
65;04.05;POSITIVE
66;04.05;NEGATIVE
67;04.06;NORMAL
68;05.01;POSITIVE
69;05.01;NEGATIVE
70;05.02;NEGATIVE
71;05.02;PNEUMOCOCCI
72;05.02;MENINGOCOCCI
73;05.02;HEMOPHILLUS INFL.
74;05.02;CRYPTOCOCCI
75;05.02;PLEAMORPHIC BACILLI
76;05.02;STAPHYLOCOCCI
77;05.03;POSITIVE
78;05.03;NEGATIVE
79;05.04;POSITIVE
80;05.04;NEGATIVE
81;05.05;NEGATIVE
82;05.05;+
83;05.05;++
84;05.05;+++
85;05.06;POSITIVE
86;05.06;NEGATIVE
87;05.07;POSITIVE 
88;05.07;NEGATIVE
89;06.01;POSITIVE
90;06.01;NEGATIVE
91;06.02;POSITIVE
92;06.02;NEGATIVE
93;06.03;POSITIVE
94;06.03;NEGATIVE
95;06.04;POSITIVE
96;06.04;NEGATIVE
97;06.05;POSITIVE
98;06.05;NEGATIVE
99;06.06;POSITIVE
100;06.06;NEGATIVE
101;07.01;POSITIVE
102;07.01;NEGATIVE
103;07.02;HIGH
104;07.02;LOW
105;07.02;NORMAL
106;07.03;HIGH
107;07.03;LOW
108;07.03;NORMAL
109;07.03.1;<1.2 (NORMAL)
110;07.03.1;1.2 - 5
111;07.03.1;> 5
112;07.03.2;< 1.2 (NORMAL)
113;07.03.2;1.2 - 5
114;07.03.2;> 5
115;07.03.3;<= 50 (NORMAL)
116;07.03.3;> 50
117;07.03.4;<= 50 (NORMAL)
118;07.03.4;> 50
119;07.04;HIGH
120;07.04;LOW
121;07.04;NORMAL
122;07.04.1;< 1.4 (NORMAL)
123;07.04.1;1.4 - 2.5
124;07.04.1;> 2.5
125;07.04.2;> 10
126;07.04.2;10-55 (NORMAL)
127;07.04.2;< 55
128;08.01;POSITIVE
129;08.01;NEGATIVE
130;09.01;SEDIMENTS
131;09.01;SUGAR
132;09.01;UROBILINOGEN
133;09.01;BILIRUBIN
134;09.01;PROTEIN
135;09.01;HCG
